angle,power
0,-91.92311
10,-84.698135
20,-69.57956
30,-95.87456
40,-67.68744
50,-91.24175
60,-96.32165
70,-82.7283
80,-80.75759
90,-89.42458
100,-81.11427
110,-94.72097
120,-101.17299
130,-93.43482
140,-83.93935
150,-94.4206
160,-85.07191
170,-98.60167
180,-97.283585
190,-81.978546
200,-106.52157
210,-94.85336
220,-76.88267
230,-100.805725
240,-77.197914
250,-81.3599
260,-98.17682
270,-81.69936
280,-86.77707
290,-91.619865
300,-81.59142
310,-66.95137
320,-89.900314
330,-65.71153
340,-94.76114
350,-87.57177
