angle,power
0,-75.29512
10,-69.60303
20,-71.75777
30,-77.86194
40,-79.43222
50,-68.64262
60,-72.14119
70,-67.05336
80,-73.27901
90,-73.3181
100,-73.55905
110,-89.81366
120,-86.73512
130,-89.420296
140,-86.460045
150,-92.158905
160,-94.59001
170,-88.81616
180,-87.624626
190,-83.32956
200,-84.11421
210,-95.9712
220,-82.16712
230,-82.34134
240,-77.587494
250,-74.98463
260,-81.97298
270,-73.43745
280,-80.33601
290,-71.11248
300,-71.3278
310,-71.541145
320,-66.89469
330,-68.50142
340,-65.72125
350,-72.78649
